日期,时间,经度方向,经度,纬度方向,纬度,海拔,速率,航向,卫星数量
2017年5月10日,9时32分38秒,E,11141.856,N,4047.533,1108米,22.22公里／小时,航向:253.6,05颗
2017年5月10日,9时32分39秒,E,11141.852,N,4047.532,1106米,20.37公里／小时,航向:254.3,05颗
2017年5月10日,9时32分39秒,E,11141.852,N,4047.532,1106米,20.37公里／小时,航向:254.3,05颗
2017年5月10日,9时32分41秒,E,11141.837,N,4047.557,1181米,22.22公里／小时,航向:252.0,06颗
2017年5月10日,9时32分42秒,E,11141.830,N,4047.563,1199米,22.22公里／小时,航向:255.4,06颗
2017年5月10日,9时32分43秒,E,11141.826,N,4047.561,1195米,25.93公里／小时,航向:257.0,06颗
2017年5月10日,9时32分44秒,E,11141.821,N,4047.560,1194米,25.93公里／小时,航向:258.9,06颗
2017年5月10日,9时32分45秒,E,11141.815,N,4047.559,1192米,25.93公里／小时,航向:260.2,06颗
2017年5月10日,9时32分46秒,E,11141.810,N,4047.560,1194米,25.93公里／小时,航向:259.4,06颗
2017年5月10日,9时32分47秒,E,11141.806,N,4047.558,1195米,24.08公里／小时,航向:252.7,06颗
2017年5月10日,9时32分48秒,E,11141.800,N,4047.558,1196米,25.93公里／小时,航向:257.7,06颗
2017年5月10日,9时32分49秒,E,11141.796,N,4047.555,1184米,25.93公里／小时,航向:259.9,07颗
2017年5月10日,9时32分50秒,E,11141.791,N,4047.551,1174米,25.93公里／小时,航向:258.7,07颗
2017年5月10日,9时32分51秒,E,11141.787,N,4047.549,1167米,22.22公里／小时,航向:254.0,07颗
2017年5月10日,9时32分52秒,E,11141.783,N,4047.547,1162米,20.37公里／小时,航向:254.8,08颗
2017年5月10日,9时32分53秒,E,11141.779,N,4047.548,1159米,18.52公里／小时,航向:259.7,08颗
2017年5月10日,9时32分54秒,E,11141.776,N,4047.547,1151米,16.67公里／小时,航向:273.7,08颗
2017年5月10日,9时32分55秒,E,11141.771,N,4047.547,1147米,16.67公里／小时,航向:298.6,08颗
2017年5月10日,9时32分56秒,E,11141.769,N,4047.549,1147米,20.37公里／小时,航向:327.2,08颗
2017年5月10日,9时32分57秒,E,11141.767,N,4047.552,1147米,24.08公里／小时,航向:338.5,08颗
2017年5月10日,9时32分58秒,E,11141.766,N,4047.556,1146米,29.63公里／小时,航向:341.1,08颗
2017年5月10日,9时32分59秒,E,11141.764,N,4047.560,1145米,33.34公里／小时,航向:340.4,08颗
2017年5月10日,9时33分0秒,E,11141.762,N,4047.565,1144米,37.04公里／小时,航向:339.9,08颗
2017年5月10日,9时33分1秒,E,11141.759,N,4047.571,1144米,40.74公里／小时,航向:339.6,08颗
2017年5月10日,9时33分2秒,E,11141.757,N,4047.577,1143米,40.74公里／小时,航向:339.2,08颗
2017年5月10日,9时33分3秒,E,11141.754,N,4047.583,1142米,42.60公里／小时,航向:338.7,08颗
2017年5月10日,9时33分4秒,E,11141.751,N,4047.589,1142米,40.74公里／小时,航向:339.4,08颗
2017年5月10日,9时33分5秒,E,11141.748,N,4047.595,1142米,40.74公里／小时,航向:339.1,08颗
2017年5月10日,9时33分6秒,E,11141.746,N,4047.601,1142米,38.89公里／小时,航向:339.9,08颗
2017年5月10日,9时33分7秒,E,11141.743,N,4047.607,1142米,38.89公里／小时,航向:340.3,08颗
2017年5月10日,9时33分8秒,E,11141.741,N,4047.613,1141米,37.04公里／小时,航向:341.2,08颗
2017年5月10日,9时33分9秒,E,11141.738,N,4047.618,1142米,33.34公里／小时,航向:342.0,08颗
2017年5月10日,9时33分10秒,E,11141.737,N,4047.623,1141米,29.63公里／小时,航向:342.1,08颗
2017年5月10日,9时33分11秒,E,11141.735,N,4047.627,1140米,25.93公里／小时,航向:342.6,09颗
2017年5月10日,9时33分12秒,E,11141.734,N,4047.631,1140米,24.08公里／小时,航向:342.9,09颗
2017年5月10日,9时33分13秒,E,11141.733,N,4047.634,1139米,20.37公里／小时,航向:343.2,09颗
2017年5月10日,9时33分14秒,E,11141.732,N,4047.637,1139米,16.67公里／小时,航向:343.4,09颗
2017年5月10日,9时33分15秒,E,11141.731,N,4047.639,1139米,14.82公里／小时,航向:343.5,10颗
2017年5月10日,9时33分16秒,E,11141.730,N,4047.641,1140米,12.96公里／小时,航向:343.4,08颗
2017年5月10日,9时33分17秒,E,11141.730,N,4047.643,1139米,12.96公里／小时,航向:343.3,08颗
2017年5月10日,9时33分18秒,E,11141.729,N,4047.645,1139米,11.11公里／小时,航向:343.0,08颗
2017年5月10日,9时33分19秒,E,11141.728,N,4047.646,1138米,9.26公里／小时,航向:343.0,08颗
2017年5月10日,9时33分20秒,E,11141.728,N,4047.647,1137米,5.56公里／小时,航向:338.0,08颗
2017年5月10日,9时33分21秒,E,11141.727,N,4047.648,1137米,3.70公里／小时,航向:338.0,08颗
2017年5月10日,9时33分22秒,E,11141.727,N,4047.648,1136米,1.85公里／小时,航向:338.0,08颗
2017年5月10日,9时33分23秒,E,11141.727,N,4047.648,1135米,0.00公里／小时,航向:338.0,09颗
2017年5月10日,9时33分24秒,E,11141.727,N,4047.648,1135米,0.00公里／小时,航向:338.0,09颗
2017年5月10日,9时33分25秒,E,11141.721,N,4047.617,1132米,1.85公里／小时,航向:338.0,10颗
2017年5月10日,9时33分26秒,E,11141.720,N,4047.617,1128米,1.85公里／小时,航向:338.0,09颗
2017年5月10日,9时33分27秒,E,11141.721,N,4047.617,1122米,1.85公里／小时,航向:338.0,09颗
2017年5月10日,9时33分28秒,E,11141.722,N,4047.618,1119米,1.85公里／小时,航向:338.0,09颗
2017年5月10日,9时33分29秒,E,11141.722,N,4047.618,1115米,1.85公里／小时,航向:338.0,09颗
2017年5月10日,9时33分30秒,E,11141.723,N,4047.618,1113米,0.00公里／小时,航向:338.0,09颗
2017年5月10日,9时33分31秒,E,11141.726,N,4047.617,1101米,0.00公里／小时,航向:338.0,10颗
